iter	Passed	Remaining
627	26086	15452
628	26135	15415
629	26164	15366
630	26212	15328
631	26261	15291
632	26316	15257
633	26340	15206
634	26387	15167
635	26476	15153
636	26510	15107
637	26560	15070
638	26586	15019
639	26625	14977
640	26656	14929
641	26699	14888
642	26752	14853
643	26779	14803
644	26830	14767
645	26869	14724
646	26938	14697
647	26962	14646
648	27004	14604
649	27053	14567
650	27080	14517
651	27127	14479
652	27205	14456
653	27252	14417
654	27279	14368
655	27320	14326
656	27367	14287
657	27435	14259
658	27463	14211
659	27505	14169
660	27530	14119
661	27609	14096
662	27669	14064
663	27717	14025
664	27745	13976
665	27801	13942
666	27852	13905
667	27878	13855
668	27917	13812
669	27959	13771
670	28015	13736
671	28073	13702
672	28109	13657
673	28139	13610
674	28171	13564
675	28233	13531
676	28280	13492
677	28308	13444
678	28371	13412
679	28412	13370
680	28471	13336
681	28500	13288
682	28546	13249
683	28609	13217
684	28685	13191
685	28711	13142
686	28754	13100
687	28814	13066
688	28881	13036
689	28950	13006
690	28977	12958
691	29033	12922
692	29102	12892
693	29161	12857
694	29216	12821
695	29241	12771
696	29279	12728
697	29356	12701
698	29388	12655
699	29427	12611
700	29482	12575
701	29531	12535
702	29558	12487
703	29601	12445
704	29631	12398
705	29677	12358
706	29727	12319
707	29754	12271
708	29789	12226
709	29815	12178
710	29864	12139
711	29890	12090
712	29954	12057
713	29980	12008
714	30009	11961
715	30051	11919
716	30075	11870
717	30128	11833
718	30163	11788
719	30251	11764
720	30317	11731
721	30367	11692
722	30397	11646
723	30444	11606
724	30507	11571
725	30532	11523
726	30586	11485
727	30645	11449
728	30697	11411
729	30727	11364
730	30779	11326
731	30831	11288
732	30893	11253
733	30956	11218
734	30980	11169
735	31010	11123
736	31044	11078
737	31128	11051
738	31159	11004
739	31212	10966
740	31260	10926
741	31285	10878
742	31333	10837
743	31368	10793
744	31424	10756
745	31450	10708
746	31500	10668
747	31560	10632
748	31604	10591
749	31632	10544
750	31678	10503
751	31740	10467
752	31783	10425
753	31818	10381
754	31844	10333
755	31932	10306
756	31958	10258
757	31991	10213
758	32030	10170
759	32057	10123
760	32088	10077
761	32134	10036
762	32185	9997
763	32242	9959
764	32270	9913
765	32369	9888
766	32392	9840
767	32439	9799
768	32468	9753
769	32506	9709
770	32558	9670
771	32595	9626
772	32634	9583
773	32666	9538
774	32706	9495
775	32746	9452
776	32771	9405
777	32804	9360
778	32851	9319
779	32879	9273
780	32926	9233
781	32964	9189
782	32989	9142
783	33048	9105
784	33102	9066
785	33147	9024
786	33173	8978
787	33234	8941
788	33284	8901
789	33342	8863
790	33388	8821
791	33414	8775
792	33463	8735
793	33518	8696
794	33547	8650
795	33606	8612
796	33668	8575
797	33713	8533
798	33739	8487
799	33784	8446
800	33838	8406
801	33866	8361
802	33927	8323
803	33958	8278
804	34008	8238
805	34037	8192
806	34069	8148
807	34096	8102
808	34142	8060
809	34170	8015
810	34237	7978
811	34268	7934
812	34296	7888
813	34391	7858
814	34418	7812
815	34459	7770
816	34491	7725
817	34530	7682
818	34566	7639
819	34593	7593
820	34627	7549
821	34671	7507
822	34722	7467
823	34751	7422
824	34779	7377
825	34823	7335
826	34856	7291
827	34899	7249
828	34949	7209
829	34975	7163
830	35011	7120
831	35037	7074
832	35076	7032
833	35105	6987
834	35140	6944
835	35166	6898
836	35203	6855
837	35228	6810
838	35258	6765
839	35288	6721
840	35316	6677
841	35347	6632
842	35378	6588
843	35405	6544
844	35431	6499
845	35458	6454
846	35490	6410
847	35523	6367
848	35558	6324
849	35599	6282
850	35631	6238
851	35663	6195
852	35690	6150
853	35716	6106
854	35743	6061
855	35768	6017
856	35794	5972
857	35820	5928
858	35860	5886
859	35898	5844
860	35927	5800
861	35956	5756
862	35987	5712
863	36023	5670
864	36067	5629
865	36095	5585
866	36130	5542
867	36173	5501
868	36199	5456
869	36263	5418
870	36290	5374
871	36317	5331
872	36353	5288
873	36388	5245
874	36416	5202
875	36443	5158
876	36480	5116
877	36513	5073
878	36555	5032
879	36601	4991
880	36654	4951
881	36701	4910
882	36732	4867
883	36767	4824
884	36801	4782
885	36831	4739
886	36863	4696
887	36889	4652
888	36915	4609
889	36944	4566
890	36969	4522
891	37015	4481
892	37052	4439
893	37086	4397
894	37144	4357
895	37170	4314
896	37205	4272
897	37257	4231
898	37285	4188
899	37329	4147
900	37364	4105
901	37391	4062
902	37424	4020
903	37461	3978
904	37518	3938
905	37543	3895
906	37582	3853
907	37611	3810
908	37650	3769
909	37675	3726
910	37706	3683
911	37729	3640
912	37758	3598
913	37785	3555
914	37812	3512
915	37845	3470
916	37871	3427
917	37904	3385
918	37940	3344
919	37976	3302
920	38007	3260
921	38039	3218
922	38084	3177
923	38122	3135
924	38158	3093
925	38186	3051
926	38216	3009
927	38253	2967
928	38280	2925
929	38306	2883
930	38332	2840
931	38359	2798
932	38384	2756
933	38408	2714
934	38433	2671
935	38458	2629
936	38487	2587
937	38537	2547
938	38563	2505
939	38638	2466
940	38665	2424
941	38722	2384
942	38750	2342
943	38777	2300
944	38803	2258
945	38831	2216
946	38868	2175
947	38897	2133
948	38924	2091
949	38995	2052
950	39021	2010
951	39069	1969
952	39098	1928
953	39149	1887
954	39177	1846
955	39280	1807
956	39309	1766
957	39342	1724
958	39373	1683
959	39413	1642
960	39444	1600
961	39476	1559
962	39509	1518
963	39544	1476
964	39570	1435
965	39600	1393
966	39626	1352
967	39651	1310
968	39704	1270
969	39745	1229
970	39773	1187
971	39817	1146
972	39846	1105
973	39879	1064
974	39908	1023
975	39931	981
976	39971	940
977	40005	899
978	40033	858
979	40073	817
980	40104	776
981	40131	735
982	40186	694
983	40242	654
984	40270	613
985	40314	572
986	40341	531
987	40397	490
988	40425	449
989	40455	408
990	40485	367
991	40512	326
992	40546	285
993	40582	244
994	40630	204
995	40661	163
996	40696	122
997	40728	81
998	40758	40
999	40787	0
